Lemma	Occorrenze	Presente in VdB 1980	Presente in VdB 2016
stuolo	8	0	0
passare	107	1	1
tombolare	1	0	0
cavallo	51	1	1
tutte	14	0	0
leggenda	1	0	1
donnetta	1	0	0
pelle	15	1	1
rosato	1	1	1
naso	26	1	1
ce	28	0	1
le	31	0	1
rimanere	26	1	1
paterno	2	1	0
forse	53	1	1
protestare	1	1	1
marito	7	1	1
parte	64	1	1
schierare	2	1	1
imperiale	7	0	1
accogliere	5	1	1
braccio	43	1	1
aperto	21	1	1
feudo	5	0	0
meglio	24	1	1
dimostrare	6	1	1
dedizione	3	0	0
causa	5	1	1
sposare	15	1	1
speranza	12	1	1
Ducato	2	0	0
male	26	1	1
Imperiali	1	0	0
sloggiare	1	1	0
presto	28	1	1
Genovesi	1	0	0
caricare	11	1	1
tassa	5	1	1
però	23	1	1
guadagnare	1	1	1
bravo	18	1	1
chiamare	27	0	1
morire	21	1	1
spedizione	2	1	1
Provenza	3	0	0
mandare	22	1	1
collare	2	1	1
oro	8	1	1
damascare	2	0	0
egli	49	1	1
accordo	7	1	1
allevare	2	1	1
accampamento	3	1	1
sognare	5	1	1
esercito	9	1	1
rimproverare	2	1	1
maneggione	1	0	0
sfortunato	1	1	1
tutt'	26	0	0
artiglieria	6	1	1
testa	61	1	1
albero	255	1	1
genealogico	1	0	0
figliolo	2	1	0
grado	3	1	1
importare	13	1	1
quale	28	1	1
qualche	47	1	1
granduchessa	1	0	0
elettrice	1	0	0
impero	2	0	1
ottimo	30	1	1
talmente	3	1	1
distrarre	10	1	1
abbandonare	4	1	1
bene	54	1	1
comune	10	1	1
regolare	6	1	1
modesto	3	1	1
eppure	9	1	1
fanciullezza	2	0	0
trascorrere	7	1	1
insieme	47	1	1
indifferente	2	1	1
entrambi	8	1	1
rovello	2	0	0
adulto	2	1	1
cercare	103	1	1
diverso	30	1	1
battuta	6	1	1
gente	53	1	1
arrampicare	28	0	0
questi	12	0	0
primo	48	1	1
innocente	2	1	1
ricordo	14	1	1
iniziazione	1	0	0
presagio	2	0	0
risalire	9	1	1
torrente	10	1	0
saltare	48	1	1
scoglio	3	1	1
esplorare	6	0	1
caverne	2	0	0
riva	20	1	1
scivolare	9	1	1
balaustra	7	0	0
marmo	2	1	1
scalinata	2	1	1
scivolata	3	0	1
origine	1	1	1
ragione	19	1	1
urto	1	1	0
punire	2	1	1
ingiustamente	1	0	0
ritenere	1	1	1
covare	3	1	1
società	8	1	1
mondo	32	1	1
genere	5	1	1
esprimere	6	1	1
decisione	5	1	1
scala	28	1	1
vero	33	1	1
digià	2	0	0
diffidare	3	0	0
rompere	7	1	1
gamba	35	1	1
preoccupare	5	1	1
credere	36	1	1
nulla	47	1	1
crescere	13	1	1
aumentare	2	1	1
peso	8	1	1
buttare	32	1	1
giù	57	1	1
statua	5	1	1
antenato	3	1	0
porre	19	1	1
pilastrini	1	0	0
terminale	1	0	1
rampa	3	0	0
Difatti	4	0	0
crollare	2	1	1
trisavolo	1	0	0
vescovo	6	1	1
mitria	1	0	0
imparare	14	1	1
frenare	9	1	1
attimo	2	1	1
arrivare	69	1	1
pelo	22	1	1
sbattere	8	1	1
anch'	8	0	0
seguire	49	1	1
prudente	1	1	0
pezzettino	1	0	0
frenato	1	0	0
scendere	61	1	1
freccia	1	1	1
c'	153	0	0
salire	37	1	1
n'	20	0	0
zonzo	1	0	0
breviario	3	0	0
sguardo	19	1	1
fisso	1	1	1
gallina	3	1	1
stato	19	1	1
mezz'	5	0	0
addormentare	5	1	0
no	66	1	1
momento	47	1	1
estremo	2	1	1
attenzione	9	1	1
apprensione	4	0	0
sgridare	2	1	1
monelleria	1	0	0
sorvegliare	4	1	1
trattenere	11	1	1
travolgere	4	1	1
vecchiettino	1	0	0
osso	5	1	1
cozzare	3	0	0
raddoppiato	1	0	0
slancio	8	1	0
Cacciaguerra	1	0	0
crociato	2	0	0
Terrasanta	1	0	0
diroccare	1	0	0
piè	4	0	0
frantumare	2	0	0
gesso	1	1	1
ramanzina	1	0	0
frustare	2	0	0
reclusione	1	0	0
pane	3	1	1
minestrone	4	0	1
freddo	11	1	1
sentire	97	1	1
colpa	5	1	1
uscire	41	1	1
invettiva	1	0	0
feroce	6	1	1
infischiare	4	0	0
vostro	24	1	1
signore	22	1	1
annunciare	3	1	1
ribelle	4	1	1
isolamento	1	1	0
storia	23	1	1
Marchesino	3	0	0
Mela	3	0	0
solitario	5	1	1
figlio	31	1	1
ostile	1	1	1
intrufolare	5	0	0
sedurre	1	1	1
anzi	26	1	1
violentare	1	1	1
lite	8	1	1
bietolone	1	0	0
lentigginoso	1	0	0
immaginare	11	1	1
seduttore	1	1	1
meno	16	1	1
famoso	4	1	1
ferro	6	1	1
stalliere	1	0	0
gridare	63	1	1
servi	9	0	0
accorgere	27	0	0
calzone	4	0	1
brandello	4	1	1
lacerare	1	0	0
artiglio	1	1	1
tigre	1	1	1
attentato	2	1	1
onore	9	1	1
consentire	3	1	1
matrimonio	1	1	1
sepolto	1	0	1
abito	2	1	1
pur	37	0	0
senza	88	1	1
pronunciare	5	1	1
voto	2	1	1
neppure	11	1	1
terziario	1	0	0
dubbio	5	1	1
tristo	2	0	0
esplicare	2	0	0
soprattutto	11	1	1
cucina	4	1	1
cucinare	1	1	1
mancare	15	1	1
né	47	1	1
diligenza	2	1	0
fantasia	4	1	1
dote	3	1	1
cuoca	2	0	0
sorprendere	3	1	1
crostini	1	0	0
paté	1	0	0
preparare	19	1	1
fìnissimi	1	0	0
fegato	2	1	1
quando	148	1	1
buono	25	1	1
zampa	8	1	1
cavalletta	1	1	1
quelle	34	0	0
duro	6	1	1
seghettare	4	0	0
mes-se	1	0	0
mosaico	1	0	0
torta	6	1	1
codino	5	0	0
porco	2	1	1
arrostire	2	1	0
ciambella	1	1	1
cuocere	2	1	1
porcospino	5	0	0
spina	4	1	1
chissà	17	1	1
impressione	6	1	1
sollevare	23	1	1
coprivivande	1	0	0
neanche	16	1	1
razza	3	1	1
roba	11	1	1
ancorché	2	0	0
cucciolo	3	1	1
rosa	7	1	1
tenero	9	1	1
infatti	8	1	1
orrendo	1	1	0
studiare	11	1	1
figura	5	1	1
gustare	2	1	1
cibo	5	1	1
sapore	4	1	1
raccapricciante	1	0	0
opera	10	1	1
oraferia	1	0	0
animale	8	1	1
vegetale	2	1	1
cavolfiore	1	0	0
lepre	11	1	1
colletto	2	1	0
cacciare	26	1	1
un'	92	0	0
aragosta	2	1	1
rosso	24	1	1
pinza	2	1	1
maiale	2	1	1
glie	11	0	0
strappare	17	1	1
decapitare	2	0	0
cavalluccio	1	0	0
molle	3	1	0
infiggere	1	0	0
steccare	4	0	0
ognuna	1	0	0
bignè	1	0	0
stormo	2	0	0
piccolo	26	1	1
cigno	1	1	1
ancora	95	1	1
vista	23	1	1
manicaretto	1	0	0
zelante	2	0	0
vi	56	0	1
sottile	4	1	1
smembrare	1	0	0
corpicino	1	0	0
eccitare	1	1	1
macabro	1	0	0
spingere	15	1	1
solidarietà	3	1	1
povero	11	1	1
bestia	14	1	1
straziato	1	0	0
disgusto	2	0	0
cotto	2	0	0
insofferenza	1	0	0
stupire	5	1	1
maturare	2	1	1
gesto	13	1	1
architettare	1	0	1
canestro	5	1	1
mangereccio	1	0	0
queste	6	0	0
messa	3	1	1
cantina	9	1	1
barile	7	1	1
digiuno	1	1	0
crusca	2	0	0
purgare	1	0	0
spostare	10	1	1
copertura	1	1	1
apparire	21	1	1
inferno	1	1	1
doghe	1	0	0
lentezza	1	0	0
agonia	1	1	1
rimasuglio	2	0	0
strie	2	0	0
opaco	3	1	0
bava	2	1	1
aggrumare	2	0	0
lumacheschi	1	0	0
escremento	1	0	0
colorato	1	0	1
memoria	6	1	1
bel	9	0	0
aria	47	1	1
erba	12	1	1
guscio	2	1	0
protendere	12	0	0
corno	15	1	1
divaricare	2	0	0
rattrappire	2	0	0
sporgere	13	1	1
diffidente	2	1	1
antenna	1	1	1
altre	7	0	0
crocchio	4	0	0
comare	2	0	0
addormentato	1	0	1
chiuso	11	0	1
morte	10	1	1
chiocciola	1	0	0
riversare	1	0	0
salvare	11	1	1
dall'	59	0	0
incontro	8	1	1
sinistra	2	1	1
imbandigioni	1	0	0
praticare	4	1	1
foro	1	1	1
tracciare	4	1	1
filo	9	1	1
tritare	1	1	1
miele	6	1	1
possibile	8	1	1
nascondere	26	1	1
botte	2	1	1
attrezzo	2	1	1
attrarre	4	1	1
fuga	8	1	1
finestrella	3	0	0
aiola	4	0	0
incolto	2	0	0
sterposa	1	0	0
controllare	3	1	1
effetto	5	1	1
lume	5	1	0
candela	4	1	1
ispezionare	2	0	0
muro	24	1	1
andito	1	0	0
qui	45	1	1
qua	31	1	0
questa	6	0	0
fila	11	1	1
intervallo	2	1	1
percorrere	5	0	1
pavimento	1	1	1
traccia	5	1	1
Presto	3	0	0
lumachine	1	0	0
scappare	34	1	1
bestiola	1	0	0
lemme	2	0	0
deviare	5	1	1
giro	21	1	1
ozioso	1	0	0
ruvido	5	1	0
parete	2	1	1
occasionale	1	0	0
deposito	1	1	1
muffa	4	1	0
ingrommature	1	0	0
buia	1	0	0
ingombra	1	0	0
accidentato	1	0	0
sperare	14	1	1
anima	5	1	1
pace	8	1	1
notte	41	1	1
caccia	34	1	1
reggere	27	1	1
candeliere	4	0	1
schioppo	7	0	0
illuminare	6	1	1
sbandare	1	1	0
soffitto	4	1	1
scia	2	1	1
argenteo	3	0	0
risuonare	5	1	0
fucilata	1	0	0
letto	19	1	1
sobbalzare	2	0	0
subito	53	1	1
riaffondammo	1	0	0
guanciali	2	0	0
avvezzare	1	0	0
notturno	3	1	1
distruggere	2	1	1
pezzo	6	1	1
intonaco	1	1	1
schioppettata	1	0	0
irragionevole	2	0	0
vocetta	2	0	0
stridulo	1	0	0
Aiuto	3	0	0
aiuto	5	1	1
spogliare	7	1	1
armare	6	1	1
sciabola	4	0	0
avvocato	27	1	1
seccatura	2	1	1
dormire	15	1	1
pagliaio	1	1	1
chiaror	1	0	0
torcia	3	1	1
cuore	17	1	1
ormai	53	0	1
svegliare	14	1	1
amore	41	1	1
disturbare	2	1	1
buco	5	1	1
agguantare	1	0	0
frusta	2	1	1
cocchiere	4	0	0
ricoprire	7	1	1
striatura	3	0	0
violare	37	1	1
schiena	4	1	1
natica	1	0	0
chiudere	16	1	1
stanzino	2	0	0
squallido	1	1	1
prigione	4	1	1
tre	27	1	1
acqua	30	1	1
insalata	1	1	1
cotenne	1	0	0
bue	1	1	0
fortunatamente	1	0	1
puntare	17	1	1
sovrintendente	1	0	0
zuppa	1	1	1
toccare	22	1	1
Mangiate	1	0	0
rinchiudere	2	1	1
trangugiare	1	0	0
mollusco	1	0	1
po'	77	0	0
viltà	1	0	0
sì	63	0	1
cosicché	8	0	0
protesta	4	1	1
deludere	1	1	1
paragonare	1	1	1
forza	21	1	1
volontà	6	1	1
bambino	9	1	1
sovrumano	1	0	0
contrassegnare	1	0	0
E	14	0	0
voltare	30	1	1
spalla	19	1	1
vai	11	0	0
porta	10	1	1
vetro	1	1	1
vestibolo	1	0	0
tricorno	16	0	0
spadino	20	0	0
Corse	5	0	0
giardino	46	1	1
acconciare	4	0	0
proprietà	4	1	1
capello	9	1	1
incipriare	1	0	0
nastro	6	1	1
cravatta	2	1	1
marsina	7	0	0
verde	26	1	1
coda	20	1	1
calzonetti	1	0	0
color	5	0	0
malva	1	1	1
ghette	10	0	0
bianco	30	1	1
coscia	2	1	1
concessione	2	1	1
intonare	2	0	0
campagnolo	2	1	0
esentare	1	0	0
cipria	2	1	0
occasione	5	1	1
gala	1	0	0
nodoso	1	0	0
sicurezza	1	1	1
rapidità	1	1	0
pratica	2	1	1
motivo	6	1	1
utilitario	1	0	0
frutta	20	1	1
nido	7	1	1
uccello	26	1	1
superare	5	1	1
difficile	9	1	1
bugne	1	0	0
tronco	45	1	1
inforcature	1	0	0
alto	73	1	1
bello	41	1	1
fermare	33	1	1
laggiù	6	1	1
scherzo	5	1	1
voce	40	1	1
ingiusto	2	1	1
accanirsi	1	0	0
sull'	47	0	0
altezza	14	1	1
contegno	4	0	0
sdegnoso	1	0	0
offeso	3	0	1
Vorsicht	2	0	0
cascare	8	1	1
poverino	3	0	0
esclamare	9	1	1
ansia	5	1	1
volentieri	5	1	1
carica	8	1	1
cannonata	1	0	0
intanto	15	1	1
pena	10	1	1
grosso	20	1	1
comodo	7	1	1
penzoloni	5	0	0
incrociare	5	1	1
ascella	1	1	1
insaccare	3	0	0
calcare	3	0	0
davanzale	8	1	1
cambiare	22	1	1
idea	41	1	1
ti	55	0	1
appena	40	1	1
scenderò	2	0	0
mantenere	2	1	1
parola	35	1	1
sbracciare	2	0	0
ponte	7	1	1
sopra	44	1	1
sole	11	1	1
schermo	1	1	1
lassù	38	1	1
divertimento	3	1	1
viale	5	1	1
prospettiva	2	1	1
ortensie	1	0	0
camelia	1	0	0
tavolino	1	1	1
caffè	3	1	1
chioma	5	0	0
sfìttivano	1	0	0
ortaglia	2	0	0
digradare	3	0	0
sostenere	3	1	1
pietra	12	1	1
dosso	4	1	0
scuro	3	1	1
oliveto	6	0	0
abitare	8	1	1
tetto	4	1	1
mattone	1	1	1
sbiadire	3	1	1
ardesia	2	0	0
spuntare	4	1	1
pennone	6	0	0
bastimento	2	1	0
porto	10	1	1
orizzonte	4	1	1
lento	5	1	1
veliero	1	0	0
ecco	39	1	1
rosaio	1	0	0
ostentare	2	0	0
badare	10	1	1
staccare	9	1	1
discutere	6	1	1
giocare	14	1	1
attirare	6	1	1
serbare	2	1	0
restare	71	1	1
Smisi	1	0	0
accoccolare	3	0	0
panca	1	1	1
continuare	33	1	1
osservare	5	1	1
vedetta	5	0	0
limoneti	3	0	0
donna	37	1	1
cesto	1	1	1
mulattiera	2	0	0
china	2	1	1
mula	2	0	0
rumore	19	1	1
zoccolo	5	1	1
ferrato	1	0	0
verso	61	1	1
cantare	13	1	1
svolta	3	1	1
tendere	17	1	1
Aah	1	0	0
glielo	2	0	0
ragnetto	1	0	0
scheggia	1	1	1
scorza	7	1	0
frugare	4	1	1
vespa	3	1	1
arrabbiato	1	0	0
sventolare	5	1	0
volo	11	1	1
pianta	49	1	1
zucca	2	1	1
acquattare	2	0	0
veloce	5	1	1
scaletta	1	0	0
perdere	37	1	1
filari	7	0	0
fogliame	6	0	0
udire	23	1	1
frullare	7	0	0
merlo	3	1	1
Stette	3	0	0
controsole	2	0	0
olmo	15	1	0
metro	6	1	1
facile	7	1	1
passo	30	1	1
conquistare	1	1	1
sommità	1	0	0
palco	4	1	1
arrampicabile	1	0	0
carrubo	7	0	0
gelso	11	0	0
avanzare	6	1	1
camminare	11	1	1
sospendere	8	1	1
scavalcare	6	1	1
cinta	2	1	0
Ondariva	28	0	0
benché	5	1	1
confinare	1	1	0
Marchesi	5	0	0
Nobili	1	0	0
godere	11	1	1
parecchio	4	1	1
generazione	2	1	1
diritto	9	1	1
feudale	3	0	0
astio	1	0	0
reciproco	1	1	1
dividere	11	1	1
mastio	1	0	0
fortezza	2	0	0
erigere	2	0	0
Marchese	7	0	0
aggiungere	10	1	1
ciò	13	1	1
gelosia	12	1	1
circondare	8	1	1
popolare	1	1	1
veduta	3	1	0
attuale	1	1	1
discepolo	1	0	1
Linneo	2	0	0
vasto	6	1	1
parentela	3	1	0
Corti	2	0	0
Inghilterra	3	0	0
prezioso	3	1	1
rarità	2	0	0
botanico	1	0	0
colonia	7	1	0
sbarcare	2	1	1
sacco	28	1	1
seme	2	1	1
fascio	1	1	1
talee	1	0	0
arbusto	2	0	0
vaso	1	1	1
perfino	7	1	1
enorme	4	1	1
involti	1	0	0
pan	1	0	0
attorno	15	1	1
radice	5	1	1
finché	26	1	1
mescolanza	1	0	0
foresta	12	1	1
Indie	2	0	0
Americhe	3	0	0
addirittura	7	1	1
Nuova	2	0	0
Olanda	1	0	0
affacciare	7	0	1
orlo	1	1	1
oscuro	7	1	1
nuovamente	1	0	1
americano	1	1	1
magnolia	14	0	0
nero	28	1	1
carnoso	1	0	1
fiore	11	1	1
cornice	1	1	1
equilibrio	5	1	1
calare	22	1	1
scomparire	15	1	1
racconto	7	1	1
riferire	5	1	1
ricavare	4	1	1
spargere	15	1	1
testimonianza	2	1	1
induzione	1	0	0
fitto	15	1	1
praticabile	2	0	0
esperto	3	1	1
