Lemmato	Occorrenze
intanto	15
pena	10
grosso	20
comodo	7
penzoloni	5
incrociare	5
ascella	1
insaccare	3
calcare	3
davanzale	8
cambiare	22
idea	41
ti	55
appena	40
scenderò	2
mantenere	2
parola	35
sbracciare	2
ponte	7
sopra	44
sole	11
schermo	1
lassù	38
divertimento	3
viale	5
prospettiva	2
ortensie	1
camelia	1
tavolino	1
caffè	3
chioma	5
sfìttivano	1
ortaglia	2
digradare	3
sostenere	3
pietra	12
dosso	4
scuro	3
oliveto	6
abitare	8
tetto	4
mattone	1
sbiadire	3
ardesia	2
spuntare	4
pennone	6
bastimento	2
porto	10
orizzonte	4
lento	5
veliero	1
ecco	39
rosaio	1
ostentare	2
badare	10
staccare	9
discutere	6
giocare	14
attirare	6
serbare	2
restare	71
Smisi	1
accoccolare	3
panca	1
continuare	33
osservare	5
vedetta	5
limoneti	3
donna	37
cesto	1
mulattiera	2
china	2
mula	2
rumore	19
zoccolo	5
ferrato	1
verso	61
cantare	13
svolta	3
tendere	17
Aah	1
glielo	2
ragnetto	1
scheggia	1
scorza	7
frugare	4
vespa	3
arrabbiato	1
sventolare	5
volo	11
pianta	49
zucca	2
acquattare	2
veloce	5
scaletta	1
perdere	37
filari	7
fogliame	6
udire	23
frullare	7
merlo	3
Stette	3
controsole	2
olmo	15
metro	6
facile	7
passo	30
conquistare	1
sommità	1
palco	4
arrampicabile	1
carrubo	7
gelso	11
avanzare	6
camminare	11
sospendere	8
scavalcare	6
cinta	2
Ondariva	28
benché	5
confinare	1
Marchesi	5
Nobili	1
godere	11
parecchio	4
generazione	2
diritto	9
feudale	3
astio	1
reciproco	1
dividere	11
mastio	1
fortezza	2
erigere	2
Marchese	7
aggiungere	10
ciò	13
gelosia	12
circondare	8
popolare	1
veduta	3
attuale	1
discepolo	1
Linneo	2
vasto	6
parentela	3
Corti	2
Inghilterra	3
prezioso	3
rarità	2
botanico	1
colonia	7
sbarcare	2
sacco	28
seme	2
fascio	1
talee	1
arbusto	2
vaso	1
perfino	7
enorme	4
involti	1
pan	1
attorno	15
radice	5
finché	26
mescolanza	1
foresta	12
Indie	2
Americhe	3
addirittura	7
Nuova	2
Olanda	1
affacciare	7
orlo	1
oscuro	7
nuovamente	1
americano	1
magnolia	14
nero	28
carnoso	1
fiore	11
cornice	1
equilibrio	5
calare	22
scomparire	15
racconto	7
riferire	5
ricavare	4
spargere	15
testimonianza	2
induzione	1
fitto	15
praticabile	2
esperto	3
resistere	6
legno	7
dolce	3
punta	15
scarpa	3
sbucciare	2
aprire	22
ferita	1
avvolgere	10
profumo	4
fresco	9
pagina	13
verdeggiare	1
brillante	2
odorare	2
irregolarmente	1
olfatto	1
discernere	1
varo	5
aroma	2
noto	9
giungere	27
fin	29
segreto	22
fronda	18
nuovo	56
quali	10
lustro	1
correggere	3
velo	6
minuscolo	2
pennate	1
troncare	3
liscio	3
scaglia	3
silenzio	11
levare	28
luì	2
oh	19
ba-lançoire	1
appendere	28
dondolare	3
altalena	27
bambina	33
dieci	4
biondo	16
pettinatura	2
buffa	1
bimba	1
azzurro	4
troppo	29
gonna	5
sollevato	3
traboccare	1
trina	2
socchiudere	5
vezzo	2
dama	8
mela	12
piegare	6
fune	12
spinto	5
colpire	4
scarpino	1
terreno	14
punto	38
basso	26
arco	1
soffiare	5
labbro	13
frammento	3
buccia	2
morsicare	1
ba-la	1
nçoire	1
ragazzina	11
canzone	2
cima	51
piede	58
piantare	5
appoggiare	6
attento	8
Tutt'	4
tratto	28
ritto	7
rotolare	4
sguainare	7
abbassare	8
infilzare	4
porgere	16
frattempo	3
percorso	6
completo	2
sporcare	1
ammaccare	1
pentire	1
mostrare	18
stupore	2
ragazzetto	1
sconosciuto	3
riprendere	18
sussiegoso	3
ladro	12
contrario	6
rubare	7
